Date,Open,High,Low,Close,Volume,BTC_Price_CryptoCompare,BTC_Volume_CryptoCompare,BTC_SMA_50,BTC_EMA_20,BTC_RSI,BTC_MACD,Fear_Greed_Index,BTC_Sentiment,BTC_Trends
2021-03-28,55974.94140625,56610.3125,55071.11328125,55950.74609375,47686580918,55781.01,1345583216.95,52101.71953125,54978.728622438815,54.4701266829586,1017.4075636679116,74.0,0.2208,24
2021-03-29,55947.8984375,58342.09765625,55139.33984375,57750.19921875,57625587027,57626.1,2950020309.68,52478.6546875,55242.67820303988,58.37077521834468,1131.731146666898,72.0,0.071,28
2021-03-30,57750.1328125,59447.22265625,57251.55078125,58917.69140625,54414116432,58781.54,2064647135.86,52733.07921875,55592.67946048846,60.72196793255119,1301.5369642966762,72.0,0.1121,28
2021-03-31,58930.27734375,59930.02734375,57726.41796875,58918.83203125,65520826225,58793.8,2727194335.71,52981.83375,55909.45589579909,60.724301860279546,1419.834370253935,76.0,0.0429,27
2021-04-01,58926.5625,59586.0703125,58505.27734375,59095.80859375,61669163792,58730.82,1648724834.05,53265.38625,56212.9180575087,61.11042729240575,1510.4548628671328,74.0,0.1224,30
2021-04-02,59098.87890625,60267.1875,58869.28125,59384.3125,58727860620,58987.8,1765524921.41,53494.885859375,56514.95562346026,61.77024898442819,1587.255220109757,74.0,0.0474,27
2021-04-03,59397.41015625,60110.26953125,57603.890625,57603.890625,59641344484,57074.97,1470430519.81,53696.866640625,56618.663718845,55.51092036633599,1487.3101057544409,73.0,0.0831,25
2021-04-04,57604.83984375,58913.74609375,57168.67578125,58758.5546875,50749662970,58219.43,1093079652.2,53929.927421875,56822.462858716906,58.45142548737892,1484.1660797694567,74.0,0.2097,24
2021-04-05,58760.875,59891.296875,57694.82421875,59057.87890625,60706272115,59119.56,1439529332.47,54136.73921875,57035.35962514863,59.20418290984912,1488.6669534448083,71.0,0.0785,26
2021-04-06,59171.93359375,59479.578125,57646.80859375,58192.359375,66058027988,58010.35,1535666142.46,54341.685234375,57145.55007751542,56.04237729593913,1406.184120316444,75.0,0.1482,25
2021-04-07,58186.5078125,58731.14453125,55604.0234375,56048.9375,75645303584,55951.98,2855410824.81,54478.6665625,57041.11078441871,49.05546008533758,1154.5507069501618,72.0,0.0479,24
2021-04-08,56099.9140625,58338.73828125,55879.0859375,58323.953125,53053855641,58084.46,1458096433.7,54602.16546875,57163.28624542645,55.40979274459169,1125.727476170876,73.0,0.0677,24
2021-04-09,58326.5625,58937.046875,57807.86328125,58245.00390625,46655208546,58106.85,1241735091.75,54733.469609375,57266.306975028696,55.1527015340115,1084.018426330469,70.0,0.1659,22
2021-04-10,58253.77734375,61276.6640625,58038.70703125,59793.234375,58238470525,59784.8,2322058695.22,54811.571640625,57506.966727406914,59.15502172262979,1162.492473947459,70.0,-0.0066,26
2021-04-11,59846.23046875,60790.5546875,59289.796875,60204.96484375,46280252580,59980.45,1218894531.01,54893.680546875,57763.918928963394,60.17294676171891,1243.571808203531,76.0,0.0267,25
2021-04-12,60175.9453125,61253.03515625,59589.875,59893.453125,51828688519,59845.76,1913098388.79,54940.750703125,57966.73170953831,58.97539565414098,1268.0738069574,74.0,0.102,25
2021-04-13,59890.01953125,63742.28515625,59869.95703125,63503.45703125,69983454362,63558.48,3299086696.94,55126.6734375,58494.03888303466,67.13763849588305,1560.79706565963,74.0,0.1499,34
2021-04-14,63523.75390625,64863.09765625,61554.796875,63109.6953125,77451779687,62964.27,4066819695.96,55412.378828125,58933.62520965041,65.60440390827517,1740.9405977265124,75.0,0.0367,38
2021-04-15,63075.1953125,63821.671875,62208.96484375,63314.01171875,60954381579,63233.03,2146219571.03,55684.552421875,59350.804877183706,66.03780768928746,1878.53765841735,79.0,0.157,32
2021-04-16,63258.50390625,63594.72265625,60222.53125,61572.7890625,84293007468,61416.41,3544777400.64,55974.131171875,59562.4224186424,59.192509664665714,1826.0328341475836,78.0,0.0142,34
2021-04-17,61529.921875,62572.17578125,60361.3515625,60683.8203125,66138759198,60056.07,2093039585.66,56261.01234375,59669.22221805742,56.00088736570749,1693.172198789238,76.0,0.2094,28
2021-04-18,60701.88671875,61057.45703125,52829.53515625,56216.18359375,97468872758,56246.82,6264051811.58,56461.566953125,59340.3613966948,43.35025051349394,1213.391026015168,79.0,0.0809,53
2021-04-19,56191.5859375,57520.0546875,54368.59375,55724.265625,65344865159,55680.11,2732647682.18,56673.296875,58995.97132320006,42.219339499925965,784.424958374344,74.0,-0.0083,41
2021-04-20,55681.79296875,57062.1484375,53448.046875,56473.03125,67849323955,56496.06,3091319805.6,56810.13265625,58755.69131622862,44.58891929118862,499.13170784806425,73.0,0.0982,35
2021-04-21,56471.12890625,56757.97265625,53695.46875,53906.08984375,54926612466,53803.25,2312255459.33,56920.6746875,58293.824509325896,38.72562126317772,65.15298961125518,73.0,0.109,29
2021-04-22,53857.10546875,55410.23046875,50583.8125,51762.2734375,74798630778,51717.61,4488994737.96,56945.1553125,57671.77202629486,34.62996589739639,-446.6180042593114,65.0,0.0481,35
2021-04-23,51739.80859375,52120.79296875,47714.6640625,51093.65234375,86668667320,51178.03,5241192198.03,56995.805,57045.28443748106,33.442025233921896,-895.8258160039477,55.0,-0.0585,56
2021-04-24,51143.2265625,51167.5625,48805.28515625,50050.8671875,49014494781,50115.99,1695108976.06,57018.27625,56379.14946129239,31.6201998639103,-1320.7455577155124,37.0,0.0262,37
2021-04-25,50052.83203125,50506.01953125,47159.484375,49004.25390625,46117114240,49120.97,2176241676.28,57020.113671875,55676.778456050255,29.861843586940765,-1722.0991720027523,31.0,-0.0361,32
2021-04-26,49077.79296875,54288.00390625,48852.796875,54021.75390625,58284039825,54062.29,3254396664.97,57076.414921875,55519.157070355,45.50668923892957,-1616.6685373616638,27.0,0.0653,36
2021-04-27,54030.3046875,55416.96484375,53319.1875,55033.1171875,49448222757,55073.48,2220077233.11,57132.146796875,55472.86755770214,48.02337779073956,-1434.964062858111,50.0,0.1186,32
2021-04-28,55036.63671875,56227.20703125,53887.91796875,54824.703125,48000572955,54877.94,2339383717.48,57132.158515625,55411.13761173051,47.53616915280324,-1292.875763741562,59.0,0.0395,29
2021-04-29,54858.08984375,55115.84375,52418.02734375,53555.109375,46088929780,53581.58,2359198137.55,57083.0896875,55234.373017756174,44.56979868710607,-1268.0975292343935,52.0,0.0345,26
2021-04-30,53568.6640625,57900.71875,53129.6015625,57750.17578125,52395931985,57757.97,2719315702.2,57081.99078125,55473.97328094606,54.64179988733172,-899.5839566377836,51.0,0.1049,26
2021-05-01,57714.6640625,58448.33984375,57052.2734375,57828.05078125,42836427360,57843.16,1511783659.93,57091.91,55698.17113811786,54.80597007133944,-594.3985768924322,68.0,0.092,25
2021-05-02,57825.86328125,57902.59375,56141.90625,56631.078125,38177405335,56623.51,1230710822.31,56999.66984375,55787.01942258283,51.708068325462825,-444.0044476544208,66.0,0.1885,24
2021-05-03,56620.2734375,58973.30859375,56590.87109375,57200.29296875,51713139031,57195.07,2371465902.34,56957.629375,55921.61690317018,53.06668722248772,-275.706957751092,61.0,0.1438,27
2021-05-04,57214.1796875,57214.1796875,53191.42578125,53333.5390625,68564706967,53244.07,3556756117.3,56906.156171875,55675.13329929683,44.00896102314254,-449.1669914279555,68.0,0.0783,27
2021-05-05,53252.1640625,57911.36328125,52969.0546875,57424.0078125,69241316747,57506.88,3200062630.96,56918.53828125,55841.69277674475,53.12400802436383,-253.64481563144363,48.0,0.1221,28
2021-05-06,57441.30859375,58363.31640625,55382.5078125,56396.515625,69523285106,56441.94,2878647496.02,56869.050703125,55894.53304800715,50.88319859869601,-179.5325752993449,65.0,0.0506,27
2021-05-07,56413.953125,58606.6328125,55321.84765625,57356.40234375,68434023376,57374.33,2439662460.45,56859.0003125,56033.75869522076,52.8826951840862,-42.84931456566119,64.0,0.0517,24
2021-05-08,57352.765625,59464.61328125,56975.2109375,58803.77734375,65382980634,58943.13,2211507566.18,56868.1428125,56297.56999508068,55.80426783632546,180.18713546290385,67.0,0.0289,26
2021-05-09,58877.390625,59210.8828125,56482.00390625,58232.31640625,65906690347,58294.18,2645394205.33,56866.51625,56481.83155804919,54.37078653649904,307.29075075066066,73.0,-0.0345,26
2021-05-10,58250.87109375,59519.35546875,54071.45703125,55859.796875,71776546298,55870.01,4067497161.41,56833.24375,56422.59015966355,48.76958027434723,214.1106491157116,72.0,0.014,26
2021-05-11,55847.2421875,56872.54296875,54608.65234375,56704.57421875,61308396325,56747.52,2395231325.24,56876.75234375,56449.44578433845,50.71644218008588,206.0559342408524,61.0,0.1571,26
2021-05-12,56714.53125,57939.36328125,49150.53515625,49150.53515625,75215403907,49504.08,4035173480.67,56764.984140625,55754.31143880622,37.12889856718952,-405.2043622763813,68.0,0.0509,27
2021-05-13,49735.43359375,51330.84375,46980.01953125,49716.19140625,96721152926,49700.6,5919941739.84,56703.82265625,55179.25238808658,38.458490475039255,-834.3707129690738,31.0,-0.0832,65
2021-05-14,49682.98046875,51438.1171875,48868.578125,49880.53515625,55737497453,49887.96,2156016499.66,56667.35015625,54674.6126517212,38.86302586461734,-1147.993614930936,26.0,-0.1235,41
2021-05-15,49855.49609375,50639.6640625,46664.140625,46760.1875,59161047474,46775.29,2591003797.63,56499.80765625,53920.8578753668,34.258441328984475,-1629.54363759415,27.0,0.0028,33
2021-05-16,46716.63671875,49720.04296875,43963.3515625,46456.05859375,64047871555,46490.71,3693969204.75,56309.45859375,53209.92461045091,33.837624494604626,-2012.517116389041,20.0,0.1408,34
2021-05-17,46415.8984375,46623.55859375,42207.2890625,43537.51171875,74903638450,43552.14,5896147491.21,56061.19390625,52288.74243028892,30.02594912454994,-2522.4514488763307,27.0,0.0061,51
2021-05-18,43488.05859375,45812.45703125,42367.83203125,42909.40234375,56187365084,42886.02,3159184422.64,55764.37796875,51395.47194585664,29.26198475332633,-2943.3323552538204,21.0,-0.0313,39
2021-05-19,42944.9765625,43546.1171875,30681.49609375,37002.44140625,126358098747,36771.87,11120220854.77,55326.07296875,50024.70713256077,23.266537087216832,-3710.750663182007,23.0,-0.0916,100
2021-05-20,36753.66796875,42462.984375,35050.6171875,40782.73828125,88281943359,40597.4,5531454912.79,54963.35109375,49144.51962291212,32.76129064891238,-3968.154422519685,11.0,-0.1205,77
2021-05-21,40596.94921875,42172.171875,33616.453125,37304.69140625,82051616861,37350.39,4573692788.95,54527.52875,48016.91693561097,29.183385831013595,-4402.053934279749,19.0,0.0243,56
2021-05-22,37371.03125,38831.0546875,35383.68359375,37536.6328125,57377273240,37491.5,2808008188.27,54090.57515625,47018.79463817183,29.734494816197312,-4673.3353890429935,12.0,0.1356,51
2021-05-23,37531.44921875,38289.21875,31227.33984375,34770.58203125,78469274361,34716.84,4494413873.1,53633.908984375,45852.29819941737,27.032666403784432,-5053.27407958066,14.0,-0.0447,58
2021-05-24,34700.36328125,39835.140625,34551.08203125,38705.98046875,67359584098,38837.76,3981461441.04,53232.8575,45171.69651078238,35.94990201717037,-4979.424755733184,10.0,-0.0381,54
2021-05-25,38795.78125,39776.3515625,36581.4296875,38402.22265625,56211915803,38387.36,2529569055.97,52819.744375,44526.98471511262,35.588381100796425,-4889.051410060849,22.0,0.0344,43
2021-05-26,38392.625,40782.078125,37905.8359375,39294.19921875,51346735160,39295.08,2607759779.42,52441.781171875,44028.62419164952,37.57362781214513,-4691.375571171571,22.0,-0.0805,37
2021-05-27,39316.890625,40379.6171875,37247.90234375,38436.96875,43210968721,38538.84,1804036815.09,52089.541796875,43496.08557815909,36.41211238023687,-4551.421426287714,27.0,0.0743,34
2021-05-28,38507.08203125,38856.96875,34779.0390625,35697.60546875,55200191952,35680.92,3104364367.82,51637.01484375,42753.3731867868,32.91090092413711,-4608.4273987287015,21.0,0.0083,35
2021-05-29,35684.15625,37234.5,33693.9296875,34616.06640625,45231013335,34611.58,2127790128.94,51164.43609375,41978.39158864044,31.61823199243554,-4686.849126866466,18.0,0.0467,35
2021-05-30,34607.40625,36400.66796875,33520.73828125,35678.12890625,31646080921,35662.59,1325408340.1,50682.133984375,41378.36657126992,34.34535993405305,-4610.156331226637,10.0,-0.1797,32
2021-05-31,35658.59375,37468.25,34241.9453125,37332.85546875,39009847639,37290.83,1821662523.97,50224.691796875,40993.07979960135,38.46312418192415,-4365.531009642989,18.0,0.0513,30
2021-06-01,37293.79296875,37896.734375,35787.0859375,36684.92578125,34639423297,36683.51,1626268789.21,49760.52125,40582.77941690123,37.47208630856423,-4175.810051739638,20.0,0.0875,30
2021-06-02,36699.921875,38231.33984375,35966.30859375,37575.1796875,33070867190,37576.98,1494571249.19,49241.955703125,40296.34134743444,39.76844875017825,-3908.5632910405543,23.0,0.0762,29
2021-06-03,37599.41015625,39478.953125,37243.97265625,39208.765625,35460750427,39229.66,1586641442.02,48763.937109375,40192.76270720259,43.84390450328259,-3524.325346292957,24.0,0.0467,30
2021-06-04,39242.484375,39242.484375,35717.72265625,36894.40625,41831090187,36861.5,1837944242.33,48235.545,39878.633520802345,39.741231108659726,-3367.7422303648564,27.0,-0.0376,32
2021-06-05,36880.15625,37917.71484375,34900.4140625,35551.95703125,35959473399,35538.4,1444088532.56,47715.128359375,39466.56909322593,37.54651139077884,-3313.774288266024,24.0,0.0168,28
2021-06-06,35538.609375,36436.421875,35304.578125,35862.37890625,28913440585,35798.57,986275148.28,47218.69953125,39123.312884942505,38.39374214627904,-3208.96490441919,17.0,-0.0081,29
2021-06-07,35835.265625,36790.5703125,33480.640625,33560.70703125,33683936663,33582.86,1850311020.63,46765.59,38593.54089887656,34.64129249280188,-3273.8890420956595,15.0,-0.0304,29
2021-06-08,33589.51953125,34017.38671875,31114.443359375,33472.6328125,49902050442,33409.38,2890313261.68,46320.55734375,38105.83536684069,34.502331488052164,-3294.472118499216,13.0,-0.0074,40
2021-06-09,33416.9765625,37537.37109375,32475.865234375,37345.12109375,53972919008,37391.58,3249553573.38,45937.999140625,38033.3863884511,44.95733750980065,-2964.1381745162507,14.0,0.1061,35
2021-06-10,37389.515625,38334.32421875,35847.59375,36702.59765625,43576032854,36680.78,2338112083.52,45593.929296875,37906.644604431945,43.71061748991578,-2722.8056074410924,21.0,-0.0386,32
2021-06-11,36697.03125,37608.6953125,36044.44921875,37334.3984375,38699736985,37339.98,1596038876.7,45305.371796875,37852.14496948604,45.31645241666649,-2452.2981993202047,21.0,0.0123,27
